"","event","latitude","longitude","raw_intensity_measure","intensity_classification","f_cluster_2","f_cluster_3","f_cluster_5","f_cluster_16","f_cluster_19","f_cluster_21","f_cluster_5_rating","f_cluster_19_rating"
"1","fire",32.7361,-114.5925,0.3,1,1,1,1,1,1,1,1.2753120665742,1.17919075144509
"2","fire",32.7436,-114.6358,0.1,1,1,1,1,1,1,1,1.2753120665742,1.17919075144509
"3","fire",32.7936,-114.5336,0.1,1,1,1,1,1,1,1,1.2753120665742,1.17919075144509
"4","fire",32.76369,-114.6415,0.1,1,1,1,1,1,1,1,1.2753120665742,1.17919075144509
"5","fire",32.7406,-114.6129,0.3,1,1,1,1,1,1,1,1.2753120665742,1.17919075144509
"6","fire",32.7419,-114.6231,0.1,1,1,1,1,1,1,1,1.2753120665742,1.17919075144509
"7","fire",32.7189,-114.7331,0.1,1,1,1,1,1,1,1,1.2753120665742,1.17919075144509
"8","fire",32.7739,-114.5831,9,1,1,1,1,1,1,1,1.2753120665742,1.17919075144509
"9","fire",32.81,-114.5933,0.6,1,1,1,1,1,1,1,1.2753120665742,1.17919075144509
"10","fire",32.7297,-114.7164,138,3,1,1,1,1,1,1,1.2753120665742,1.17919075144509
"11","fire",32.8103,-114.5892,5,1,1,1,1,1,1,1,1.2753120665742,1.17919075144509
"12","fire",32.7953,-114.5986,0.5,1,1,1,1,1,1,1,1.2753120665742,1.17919075144509
"13","fire",32.7603,-114.6347,2,1,1,1,1,1,1,1,1.2753120665742,1.17919075144509
"14","fire",32.78656,-114.60939,0.1,1,1,1,1,1,1,1,1.2753120665742,1.17919075144509
"15","fire",32.8189,-114.5092,751,4,1,1,1,1,1,1,1.2753120665742,1.17919075144509
"16","fire",32.75131,-114.693858,0.1,1,1,1,1,1,1,1,1.2753120665742,1.17919075144509
"17","fire",32.7664,-114.6155,2.2,1,1,1,1,1,1,1,1.2753120665742,1.17919075144509
"18","fire",32.7658,-114.6464,1.2,1,1,1,1,1,1,1,1.2753120665742,1.17919075144509
"19","fire",32.7439,-114.6347,1,1,1,1,1,1,1,1,1.2753120665742,1.17919075144509
"20","fire",33.51503,-116.78863,0.3,1,1,1,1,2,2,2,1.2753120665742,1.29430894308943
"21","fire",39.796,-123.275283,1,1,2,2,2,3,3,3,1.10598290598291,1.04838709677419
"22","fire",39.799443,-123.270358,0.5,1,2,2,2,3,3,3,1.10598290598291,1.04838709677419
"23","fire",39.794793,-123.275558,0.5,1,2,2,2,3,3,3,1.10598290598291,1.04838709677419
"24","fire",39.79446,-123.277375,0.5,1,2,2,2,3,3,3,1.10598290598291,1.04838709677419
"25","fire",39.817071,-123.272992,0.1,1,2,2,2,3,3,3,1.10598290598291,1.04838709677419
"26","fire",39.80846,-123.270742,0.5,1,2,2,2,3,3,3,1.10598290598291,1.04838709677419
"27","fire",39.81697,-123.27636,0.1,1,2,2,2,3,3,3,1.10598290598291,1.04838709677419
"28","fire",39.79522,-123.27253,0.3,1,2,2,2,3,3,3,1.10598290598291,1.04838709677419
"29","fire",39.81719,-123.272,0.3,1,2,2,2,3,3,3,1.10598290598291,1.04838709677419
"30","fire",39.79522,-123.27256,0.3,1,2,2,2,3,3,3,1.10598290598291,1.04838709677419
"31","fire",39.79508,-123.27256,0.3,1,2,2,2,3,3,3,1.10598290598291,1.04838709677419
"32","fire",39.79969,-123.27403,0.1,1,2,2,2,3,3,3,1.10598290598291,1.04838709677419
"33","fire",39.79503,-123.27194,0.3,1,2,2,2,3,3,3,1.10598290598291,1.04838709677419
"34","fire",39.7914,-123.2719,0.3,1,2,2,2,3,3,3,1.10598290598291,1.04838709677419
"35","fire",39.7858,-123.2711,0.3,1,2,2,2,3,3,3,1.10598290598291,1.04838709677419
"36","fire",39.7917,-123.2722,1,1,2,2,2,3,3,3,1.10598290598291,1.04838709677419
"37","fire",39.7858,-123.2708,0.3,1,2,2,2,3,3,3,1.10598290598291,1.04838709677419
"38","fire",39.795,-123.2725,0.1,1,2,2,2,3,3,3,1.10598290598291,1.04838709677419
"39","fire",39.7911,-123.2753,0.5,1,2,2,2,3,3,3,1.10598290598291,1.04838709677419
"40","fire",39.7981,-123.2706,0.3,1,2,2,2,3,3,3,1.10598290598291,1.04838709677419
"41","fire",39.7917,-123.2747,0.2,1,2,2,2,3,3,3,1.10598290598291,1.04838709677419
"42","fire",41.1067,-123.6789,2,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"43","fire",41.1092,-123.6758,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"44","fire",41.1044,-123.7056,5,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"45","fire",41.1069,-123.7064,0.3,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"46","fire",41.1044,-123.6911,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"47","fire",41.1039,-123.6864,1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"48","fire",41.1058,-123.6928,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"49","fire",41.0625,-123.6922,1.5,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"50","fire",41.0606,-123.6883,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"51","fire",41.0578,-123.6914,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"52","fire",41.0606,-123.6903,1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"53","fire",41.0572,-123.6883,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"54","fire",41.0536,-123.6833,0.3,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"55","fire",41.0597,-123.6844,1.5,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"56","fire",41.0592,-123.6847,0.5,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"57","fire",41.0628,-123.6839,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"58","fire",41.0589,-123.6917,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"59","fire",41.0572,-123.6894,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"60","fire",41.0589,-123.6897,0.3,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"61","fire",41.0606,-123.6928,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"62","fire",41.0594,-123.6861,3,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"63","fire",41.0592,-123.6853,1.3,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"64","fire",41.0539,-123.6847,0.3,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"65","fire",41.06153,-123.6835,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"66","fire",41.0556,-123.6861,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
